level,section_code,section_name,division_code,division_name,group_code,group_name,class_code,class_name,gb_source_row,status,notes
class,C,制造业,13,农副食品加工业,131,谷物磨制,1313,玉米加工,1183,BASE_CATALOG,
class,C,制造业,13,农副食品加工业,131,谷物磨制,1314,杂粮加工,1192,BASE_CATALOG,
class,C,制造业,13,农副食品加工业,131,谷物磨制,1319,其他谷物磨制,1206,BASE_CATALOG,
group,C,制造业,13,农副食品加工业,132,饲料加工,,,1214,BASE_CATALOG,
class,C,制造业,13,农副食品加工业,132,饲料加工,1321,宠物饲料加工,1215,BASE_CATALOG,
class,C,制造业,13,农副食品加工业,132,饲料加工,1329,其他饲料加工,1231,BASE_CATALOG,
group,C,制造业,13,农副食品加工业,133,植物油加工,,,1251,BASE_CATALOG,
class,C,制造业,13,农副食品加工业,133,植物油加工,1331,食用植物油加工,1252,BASE_CATALOG,
class,C,制造业,13,农副食品加工业,133,植物油加工,1332,非食用植物油加工,1265,BASE_CATALOG,
group,C,制造业,13,农副食品加工业,134,制糖业,,,1276,BASE_CATALOG,
class,C,制造业,13,农副食品加工业,134,制糖业,1340,制糖业,1276,BASE_CATALOG,same_row_group_and_class
group,C,制造业,13,农副食品加工业,135,屠宰及肉类加工,,,1288,BASE_CATALOG,
class,C,制造业,13,农副食品加工业,135,屠宰及肉类加工,1351,牲畜屠宰,1289,BASE_CATALOG,
class,C,制造业,13,农副食品加工业,135,屠宰及肉类加工,1352,禽类屠宰,1314,BASE_CATALOG,
class,C,制造业,13,农副食品加工业,135,屠宰及肉类加工,1353,肉制品及副产品加工,1341,BASE_CATALOG,
group,C,制造业,13,农副食品加工业,136,水产品加工,,,1361,BASE_CATALOG,
class,C,制造业,13,农副食品加工业,136,水产品加工,1361,水产品冷冻加工,1362,BASE_CATALOG,
class,C,制造业,13,农副食品加工业,136,水产品加工,1362,鱼糜制品及水产品干腌制加工,1377,BASE_CATALOG,
class,C,制造业,13,农副食品加工业,136,水产品加工,1363,鱼油提取及制品制造,1389,BASE_CATALOG,
class,C,制造业,13,农副食品加工业,136,水产品加工,1369,其他水产品加工,1394,BASE_CATALOG,
group,C,制造业,13,农副食品加工业,137,蔬菜、菌类、水果和坚果加工,,,1399,BASE_CATALOG,
class,C,制造业,13,农副食品加工业,137,蔬菜、菌类、水果和坚果加工,1371,蔬菜加工,1401,BASE_CATALOG,
